country,activity_sector,number_of_full_time_employees,percentage_of_telework,annual_consumption_of_electricity,annual_consumption_of_natural_gas,annual_consumption_of_propane,annual_consumption_of_fuel,annual_consumption_of_coal,annual_consumption_of_refrigerant,annual_consumption_of_GPL,fuel_consumption_of_gasoline,fuel_consumption_of_diesel,consumption_of_LPG,number_of_short_haul_round_trip,number_of_medium_haul_round_trip,number_of_long_haul_round_trip,tons_of_air_freight_lt_3000,tons_of_air_freight_gt_3000,tons_of_sea_freight_lt_3000,tons_of_sea_freight_gt_3000,expenses_of_paper,expenses_of_small_office_supplies,built_area_of_company,number_of_light_duty_vehicles,number_of_commercial_vehicles,number_of_heavy_vehicles,number_of_desktop_computers,number_of_laptops,number_of_individual_printers,number_of_servers,number_of_multifunction_printers,number_of_flat_panel_screens,carbon_footprint
Canada,Healthcare,4368,33.482764941566344,120502.19452088853,487873.2440153172,191645.42438625224,463957.589557747,6913.743767073609,3347.2056816092027,109986.41090699726,423730.34031804843,453402.8499942511,199863.1605601872,219,140,128,7826.190686278114,16188.573123735689,2275.0752034403963,30653.807457217685,62252.45068527181,35037.8378393041,11658.878194363386,152,167,52,914,466,109,19,154,940,5857568.509821326
India,Manufacturing,1535,22.56588405877543,107081.31269642561,260403.3372479645,1054.800352239349,47807.80167201404,7157.709081406007,4594.767470451211,17840.945252546226,213454.4995946107,490682.4681575604,71959.91373046639,443,196,35,2640.9208581478106,9491.775201749197,8919.221524878334,11746.470793310693,76467.42423861437,12326.460895731076,31017.205176348838,151,98,82,327,963,183,28,159,398,3562756.4448000346
India,Finance,1580,53.87022522425499,39786.487803785785,46109.119889362395,159580.02473892074,319979.5857838488,6136.946880837789,2971.8198454534245,10348.810569702206,383015.7216374085,225881.24364914402,42222.81569191211,493,253,68,9169.55646729198,10183.381117628294,28197.085938949956,8167.454653560558,46833.1192718591,44924.73803936673,39883.19983871294,4,75,96,765,1511,440,95,120,1441,3458711.27215187
Japan,Transport,1127,52.97381820526807,172233.9177380366,149771.0560479465,24632.862789794108,492556.7176815176,2299.905017820635,4231.819604433117,60238.4397830928,410128.2870254002,431409.88387921,23127.945642061288,17,123,191,351.6382613361457,1838.3421364271157,27655.290357152247,45985.29214734912,75587.26117182364,28765.336624190495,34712.914823290404,162,182,47,699,158,101,96,81,1608,4847029.647736558
France,Retail,2900,81.71534627368003,987099.5762375449,329387.9307112666,10992.521422808999,466471.22062569147,2835.1561496109402,3267.576277100305,48211.79564190474,18715.553088542114,447185.3325616047,74563.0646656404,297,168,134,5464.424761126202,10198.150460588826,10103.147440736688,10273.263685568612,26236.552960596437,25030.422867280708,64761.60390237039,198,53,47,171,964,75,77,152,1840,4532953.079144065
Brazil,Retail,3145,41.281879617422234,484107.4818482504,144395.9480389368,131873.43417259635,210774.51620371616,9400.650472650375,491.26562443460864,150137.15329342303,42297.806852622576,284205.17435557,189870.60129217312,419,186,124,6173.965976857005,1374.8506145269369,29393.675416349124,50866.53050815844,6197.966415756465,26132.170529358013,73207.12969281628,133,68,67,494,1819,421,73,170,669,3466581.040235808
Japan,Manufacturing,775,25.022379949710828,425164.48497693246,210479.15214365115,142449.763564635,113764.05366324438,5408.724816276399,2592.9399896180853,12402.657935057616,188587.76546549672,147044.73280108688,31128.950925403686,129,253,88,7015.321564922838,15745.88756534996,40073.87785850954,75134.24492002977,75767.42745444912,40201.25481396747,58713.73064732659,182,169,62,308,132,263,44,34,922,3025577.408076334
UK,Transport,4135,83.07460876246382,910645.7381798212,149426.51887209274,143274.25386247938,102129.91533357196,3275.095185582432,182.0184585078627,90392.1141932792,75968.20577440478,320301.8515396989,121970.43170749715,469,225,125,1841.9222241343002,5063.192836997239,21232.535162887605,82149.27877541108,76495.92698882967,33876.77341543735,67793.35827826595,10,66,4,391,926,326,40,61,737,2918352.34822434
France,Agriculture,2499,64.95112794691403,795963.0887767023,314491.6668316705,51850.67870144131,35890.52174871699,219.31602188251742,2577.1197202815647,195228.03206089835,221162.73762253486,381665.84425151604,105532.66879288417,401,155,49,190.85682134267978,4198.105983297831,5944.73092002124,99864.77517733429,21242.048625903728,17716.027689679002,24173.940612250433,87,76,37,877,414,395,85,106,1601,3887720.4950996754
China,Finance,579,15.625615629958167,275824.5664704275,142046.71028729525,30556.274900852466,483539.9995676178,4038.2248629695537,2687.74007197779,61619.76354999392,164684.6172895623,387033.8675942247,196767.0424309191,475,85,142,5405.635378711751,4004.0224583380036,11541.193970626706,18701.15567688856,31407.66131623799,7569.244089912965,62593.507114245,85,134,16,780,1787,463,86,153,600,4166998.1423926656
China,IT,1940,57.01773120831837,805382.8553949806,406524.263962473,24812.13856694664,359434.57446383266,987.5905290436959,3658.1179246548736,87643.37780112665,503.26994077409813,250457.76060993964,5797.720718951771,157,4,55,2771.867060818941,4529.412818460434,4976.746921865355,60895.421735534626,66599.06227400676,8361.405666720755,3642.8075311000207,11,146,55,2,874,416,7,69,88,3694344.088664111
Brazil,Healthcare,1103,45.98686847414663,87256.53986733046,362302.9256974897,54552.25236872161,193563.34812369657,2047.308194112084,187.06505814708896,125628.04408985713,113493.03654196557,348670.88524122204,124643.25690790774,127,243,108,2884.7408177478696,19478.203898166717,45637.05153669078,61135.009071461376,19203.306776173653,23547.20835853238,33214.729925878295,124,175,95,361,744,136,15,145,1259,4162883.807110996
Japan,Retail,1756,84.57751875169032,717244.9437173165,162632.0983518962,82335.33647128781,263234.5760811902,7132.6896883653435,1826.7831579008143,89793.73401042799,165420.92172582023,418233.97149686154,34847.490893935996,116,144,107,6859.856430522015,14782.609334218068,41888.153665506135,66459.71461285844,85576.89063167355,30246.390477068973,65313.08858888739,76,66,76,808,866,290,58,21,1550,4003645.1789856977
USA,Healthcare,809,60.16501108367797,23335.141319022452,312224.8564519614,180246.4214302677,240183.34700576199,633.3737408684669,3703.6879807601745,69397.26048065595,256665.80530715612,401447.97275402787,46374.066087342006,88,243,3,6776.59598000551,17804.27159532776,3157.9601050048977,64835.27106671705,35390.98393010493,35711.55374046683,48814.37026759191,94,94,77,519,622,348,53,53,1890,4014342.1955375704
France,Finance,1466,79.11485863187725,214137.4305274327,242612.38277749674,193735.08459606682,152264.10439842357,81.13289520023326,2178.4531199871344,158845.28298740202,496753.8540003744,112144.14886900132,179937.4351701246,210,159,60,1604.4632970826556,10218.044928369705,48831.246763628136,61467.13800799752,65862.81336264488,2910.725276962729,45619.80140270668,188,133,79,56,603,63,16,198,191,4077870.4791826387
France,Manufacturing,4067,46.353252093481714,888016.2148840984,27026.930047276688,6433.552222205141,178101.7247438027,5666.752578168533,4309.268652463298,58939.51717908483,338644.6374210357,270039.77091853763,101209.04436074293,27,114,97,7097.840254285491,12422.972050064518,31925.47635862625,58204.946727967836,778.7040223976097,24768.420128419682,71459.41685141413,124,177,50,628,1611,332,45,103,1667,3757092.2752788328
UK,Finance,4476,98.04053193229733,376587.90610626986,207478.85701977758,4084.272749466966,335717.6162675448,6105.545270446451,3348.4260717794077,82078.31778590003,377439.9348653264,207690.57446575706,186509.95677366425,482,275,51,3118.6519532784673,9407.01431171761,18780.948995452014,32865.98865564209,71977.84032017575,48259.231364711326,72114.39962157264,168,15,27,762,315,56,88,165,1937,3940902.13493492
UK,Agriculture,1522,79.97909289969446,472533.72119025997,65737.74867995341,116683.92846605025,123022.49135358195,2048.865709256471,3233.9243653989793,93631.76736722334,336792.04561214766,93146.80803449199,29699.755006804327,50,65,100,7908.202169049663,6472.869322531529,26153.521718728734,7657.201672804237,59692.03383822344,40850.96721059347,1041.6203091399639,166,12,62,685,1267,49,10,188,1541,2626924.754883529
Australia,Agriculture,3591,59.86011482176913,648659.8478642093,59451.83790036085,92931.58127300805,824.2725858150224,9586.724691070827,1803.7038116710285,134204.15818269245,140101.3738472927,237451.5876554955,18479.1511110729,243,135,135,3828.1074884031395,2039.9830385375783,33230.44782955807,16206.73501379224,21132.15205269469,8380.60835583296,29027.654572205425,185,155,33,673,388,384,97,94,1266,2618401.1781923035
France,Retail,4556,81.28214371061712,695423.9565442658,79888.81472200177,101551.33970115315,471129.1913539896,8095.230721173177,1071.5365417290557,132231.18539538936,42504.763853819015,76970.09215527945,63975.6246683044,77,64,119,2102.180414491842,1404.1178129409282,38629.235777837,21703.635092449513,51350.707225321814,34859.694742847685,27979.209657858322,68,15,5,490,809,65,17,194,1350,2708557.0799896396
Germany,Manufacturing,2019,32.03415106487177,149821.93508462922,214266.8585311457,195455.46730258275,19845.41270702883,2632.4128500717934,3534.7525619782173,189274.36229105722,412632.0229557899,124725.61023750888,140903.02253377554,34,140,159,95.12624350198062,5125.117297252437,11777.046600144853,95205.97082942167,31018.46602776348,33016.49911773196,867.8927996588866,122,27,64,638,829,388,28,116,247,3212043.9898081613
China,Healthcare,4871,97.74441137605241,928075.051697311,458587.8988821321,144642.03854072295,257130.11742238095,9704.421166856157,1224.9945888441905,183791.85776632867,129244.67578081161,130687.48146719683,107130.66132929223,337,8,21,3739.087235075335,10633.504271630372,20190.435791839413,28990.278993070027,15132.760449763346,36528.85872592959,49732.28014247226,66,189,32,74,967,360,28,57,1917,3988173.4772064625
Canada,Retail,3897,41.4987954416579,570386.892215093,385791.4355754112,30605.559430106856,301535.7967087614,3814.021810263165,4400.76634619894,88625.2434791256,189391.80357254858,243465.0058966285,101580.52733744432,478,149,3,6766.702836318203,16310.543358886747,47258.476944157665,26258.733330510175,39385.72794025001,8054.51326623859,12177.387939843968,191,121,31,842,1036,268,63,52,1948,4126323.065920849
Brazil,Manufacturing,3800,37.038713639463026,600795.834795509,426629.16664784,197139.41428605624,74083.17156246457,963.494145170345,4644.3082183589895,35786.59322517877,254135.78481555343,65570.90062677489,92540.371800417,104,262,71,5642.321881926662,7663.178943054483,6873.760387353988,71546.27539422318,38618.92071147395,2427.1459662831785,75175.60936748039,135,110,49,859,144,327,61,118,273,3227961.3524692114
China,Manufacturing,2415,78.75662136357326,642556.1124787391,367908.40792427404,100912.08316490133,135819.56084930513,5147.869740806159,3352.927317367402,43340.98246090538,419277.61498777405,345414.0982538797,145946.14944051616,258,239,31,9685.820001055014,332.0844617076468,45644.64512959201,90541.06010095407,20460.90361459333,34078.95171309291,32317.199479177933,149,146,77,391,455,304,3,10,561,4697370.919438073
UK,Healthcare,970,63.05846631399834,853732.3079336234,484817.9253270525,114078.24845085674,212304.57579123834,8579.561607232212,47.43898106584543,121178.24419420851,426150.6217226078,445846.9874196314,37143.4473537744,169,234,8,1131.3620745468356,3666.1642033558196,5731.8534078218745,75625.01264931433,75521.02221375157,16084.679690602063,21474.079609019027,113,178,4,889,1086,77,3,161,1041,5093028.110520356
Germany,Transport,983,76.83003547745545,214280.87267889263,370366.85502186243,195917.49047457037,50470.147371176114,2383.611446007664,4450.097904651852,6625.293260259757,92144.28067115432,322198.5587031152,75607.01041018339,147,8,127,9897.104694410102,10126.829174842615,8325.510880450804,19638.876570601948,50240.67549682172,20913.976980125484,76966.37832038946,110,27,26,63,1757,60,82,64,893,2678270.1367662298
France,Agriculture,4460,77.95505088983367,911822.7636211808,395445.75647310156,20291.279283007603,195402.9978560341,6775.760499009229,757.8504858523621,60017.03404977403,98430.49261321746,218044.3247213073,85574.6982796955,219,243,136,1403.3839251571867,19843.88361864535,21703.6487514295,52560.51203191013,65274.73775684237,2904.041795690784,40413.87309876387,135,10,36,442,1800,354,47,71,458,3527770.3389676544
China,Finance,1023,63.655986864895354,781860.1282317886,406602.2083008638,17220.264916117478,498407.5094454631,6475.548504985689,2534.1004905090413,107430.67632018855,21884.59885086136,379598.03459074127,78348.98595231363,138,100,118,9974.848828528939,7906.183171855996,23991.762306180048,99920.88843368099,1482.6994462286814,46778.25933249606,46795.92973867938,137,127,5,174,1792,280,2,83,436,4602116.878641569
Germany,Transport,3986,84.45144988867955,227738.21861064658,344254.19324575865,32757.453679485126,474165.17558967386,4437.756397665782,400.3225314917225,51702.22599739664,239205.99682025594,81313.23262863715,44728.0171607811,323,191,135,7026.823243107855,17448.200726004183,6070.951433913907,20591.043940642838,41245.57050155184,33982.32575461274,55874.775560229806,127,150,9,524,306,453,82,125,663,3713542.2247047424
Australia,Agriculture,1508,72.64242852401786,799799.0672827439,102029.66034646265,43343.07321972564,198676.20649646712,4700.37696612467,3404.6699267395816,15839.789086127998,76299.95456489286,442303.9553406335,19063.7150754861,11,117,71,4341.076451333051,1424.157992543975,22305.03140281913,81984.41396236877,92218.56444334777,37971.69599973171,49205.073267980115,193,176,61,165,652,336,98,105,1020,3615435.007063425
Japan,Transport,4850,57.74697906482782,506809.2400874225,485513.45997947373,103099.36440842145,441416.41313723783,5216.109591086771,2326.8294498570317,8479.071974313723,335629.6918391069,205647.8904622346,7787.187497126746,174,9,125,1832.0931533079709,3.068939168200391,12703.497289800896,98365.89546832058,61702.266428417286,43253.38854016181,1393.471713271982,195,76,52,392,411,413,95,41,771,4561597.931119455
UK,Transport,4265,76.11517416547574,577691.6705707392,240411.7974625829,84060.72068798103,275301.5631347717,879.8271318874562,4829.773095393354,13092.695741520944,189413.80170298307,391535.5064260934,182208.55245565818,50,163,61,669.2890672979912,1422.7213168730434,28004.082482794583,13111.326281772417,62883.92097850465,48157.212637315744,15124.030537983337,69,1,13,261,392,307,19,41,1701,3490253.6129556117
Australia,Transport,2626,49.78295717336616,992570.5653893854,414676.8858425316,127779.9103510095,490888.580982573,2758.2409640093097,1742.0981490975169,57884.64218874083,94006.00068373726,212659.58029778104,154669.1056884647,211,27,150,8353.718636179166,9265.19446946055,47662.85238934574,15437.069619281707,67828.60277877224,41863.85237646047,58338.89870884323,179,35,59,760,1870,248,68,145,1506,4555912.314664532
USA,Finance,711,48.525735291225736,18073.531118024468,399433.93996095384,93823.89668399465,292542.88090350205,1680.0722377361421,147.90690913947026,32731.651623699156,11872.361268644105,64601.65449863442,149063.2799700677,422,162,179,4788.257995511884,17003.986285135794,29043.723270674996,80528.51851232043,10501.278462891816,6779.959246148521,49914.96285946515,147,183,53,418,1704,386,20,38,1275,3296474.4625396268
Brazil,Transport,2153,33.96525941530878,936521.2675342473,213769.3323167304,135963.97733193543,41498.146119039295,3554.950934906037,4979.799711249767,56591.1518791264,78326.25378770086,251726.35116729574,140249.2380492458,35,197,12,236.79099487152854,18110.95465904491,10978.286726395952,34037.809206295766,20993.249734897716,39814.22374354369,80410.67066708971,55,110,40,106,1175,145,41,47,992,2856717.4996290137
Brazil,Finance,719,84.71589911053671,726861.8793263518,419802.0893424835,48432.722036835105,313736.0940061362,8387.044486866302,510.4647439312621,104303.5935177797,168081.0945947377,470885.5322862873,52414.079248118185,198,269,167,5631.314078260032,6474.496814382173,3926.619026404299,31937.46573637486,77273.57546956908,18279.11992359565,67492.90040330878,100,40,17,25,1958,316,17,156,1990,4462652.069975269
USA,Retail,2110,29.93201738163721,351747.5862662431,124163.90693257707,145844.58099050014,186905.3938927178,5345.55736349137,3175.619442436964,156751.7028670242,323350.28465985745,300687.7184485824,1267.3469578833974,46,294,188,2869.756245810131,14502.362252207564,45489.33208858303,93650.83292722698,55129.96677432432,36140.539304255595,56993.96106564594,31,3,78,714,1681,428,42,81,1516,3642769.903882312
France,Manufacturing,2869,25.136779308157042,730608.0826711813,177249.23811790944,193167.41324356993,359511.91318719566,3817.1526791222955,2439.4101609519785,160620.525851238,331064.400056497,437245.76978835516,47235.832089440155,375,55,25,9612.292962920874,4215.165560244723,25485.38187575109,38556.54169172465,227.85852806717537,22114.85818423319,6518.749535900937,186,152,50,248,266,395,99,12,1228,4816117.743854158
France,IT,4421,21.957766747418226,206635.13511684563,114511.0482500572,7916.278179058755,182244.35950598383,8007.708088661881,434.9987322506704,45488.319629369675,162410.160903113,96361.51707182139,113173.31472780416,363,115,88,7004.3675138548,13178.62140175511,36474.79296670651,31144.54355170806,78002.61504873473,43959.53730699021,366.30302998146084,140,181,96,517,289,216,27,136,1375,2977404.212555308
Australia,IT,3248,66.04964881694566,515862.37828001665,28648.90876034698,79463.98558445154,166474.13740652965,5490.407589445508,3439.0012417081894,146686.3147137283,266546.4833658273,145653.5675015526,9284.846355476573,348,10,69,388.85573145807984,15030.434231277479,22698.838380437595,69330.31785267004,94822.57065693282,44730.35061873555,2738.919607953383,76,94,76,965,968,135,19,62,199,2961320.1248789104
India,Healthcare,2553,19.948528752195884,816900.0407943353,117408.08821232374,142733.26461020723,332318.76917293464,2468.6680903704837,97.23219716171572,164608.3690473033,119438.18306649207,352987.02119431936,165984.80241142635,376,142,0,3771.5755927230944,7153.775425844678,13277.609352199093,83310.94996234195,52115.328655057376,7801.423970558401,78273.22364877313,130,39,41,104,1108,319,40,144,745,3911732.0666992785
Canada,Manufacturing,2822,86.75603514327092,213388.1324365451,324304.5061168836,38857.51421271016,49539.158527616586,1927.4284796843776,3734.849616664471,22243.71508447849,103104.33192752166,397907.06218181277,147270.31708403284,150,173,30,6629.533559479637,5271.9371207841605,41910.97640694075,83572.95111033965,81232.48961699447,19237.094273784332,76141.19153908978,199,26,49,174,1218,275,1,181,50,3215865.315047567
Japan,Retail,4712,69.80693275431594,562768.2907274228,380791.5895250852,53967.57240869767,90254.23590682907,9856.669506687062,2199.9410616401055,114910.22788326128,418560.4574414502,123901.94119455694,166070.47827895803,31,174,199,3514.8780262120804,5276.552828973562,44589.26922277737,96367.32021880771,70627.88712655572,40887.56162931691,55997.39432690502,149,83,50,733,1065,254,69,174,42,4033962.0463923304
India,Manufacturing,3881,78.98234305473513,47206.95412619256,175707.41754878566,190910.58386905474,204661.87235653138,967.4679248691365,3279.923046687657,80060.90118427605,181266.06262591138,169168.69888739096,5125.348722649847,9,68,23,6646.6437304107085,2282.3309445907935,24457.459471261278,29152.959175085023,49500.14766562648,39268.65735536252,2138.164226271152,192,184,39,554,1650,187,20,9,1159,2848203.3254784863
Germany,Healthcare,690,14.082506921336336,837530.7700206575,368720.70463889645,148949.47675036127,6029.971984919002,9236.997695063857,3175.4568112186716,64145.15735217219,308613.5443198439,113561.1818730698,87863.10964873031,80,51,196,6517.498337365443,9173.463380821933,39060.09022772278,85661.33748861053,83712.0447309257,43094.83243561917,53497.78538894596,193,172,38,384,1346,144,1,102,137,3549938.527397682
Australia,IT,3677,1.4975778232869663,353604.7954174324,3525.7139205558396,189435.76024622438,96344.22570721852,6887.290512654236,4016.0026055804724,18710.428092903665,338282.4526196328,43663.16732141323,93558.85288714676,470,229,6,3690.963247272613,16116.77465820192,22660.995948399875,62008.80610558396,19635.33547296718,46867.073047128746,65541.39580768609,28,197,53,750,57,494,24,7,448,2517920.092525859
Germany,Retail,178,8.126966535837665,331022.0989395444,379552.5982746849,198014.94976012316,279331.8093141337,2350.9543210625206,2215.3840651932683,110157.20943764487,239824.87868195213,45487.48400496216,140127.03624908946,12,205,29,5801.537941456404,1428.3660404563147,13089.701730716313,98646.36383580783,19875.79623333475,8955.247024116048,77986.86878022704,137,40,63,458,1081,381,91,174,1464,3589088.9004784296
Brazil,Transport,511,67.71223373045592,259938.2587856207,419875.39936921967,57925.61117930315,364138.15311129735,4178.661044956815,1886.4608373653346,86202.32646027011,412778.9270107585,431444.27553241013,180635.97908462118,284,61,53,2416.6916171501475,3285.712157195009,3828.3197232561406,67125.43505890285,33215.97600049182,22167.415139634537,17662.66435241842,18,194,14,399,811,483,5,161,1698,5058072.072776465
India,Transport,3601,10.331165579868628,720461.5734041064,496006.1515065415,170215.59108292058,181813.1667144204,8362.584503730166,3115.876559516017,39267.43178670351,309234.15693771036,251820.00991059205,117612.12891206167,469,209,76,2437.1819367144076,17238.836046417615,34424.16281612894,88312.99269322425,66678.01726127992,41116.143697936364,65252.72728182832,123,2,58,211,493,40,77,86,267,4243462.2109458735
USA,IT,4826,47.2188451293671,178358.06386827177,447234.1376069951,50933.710057796874,221778.4949901892,4022.288914203601,4374.113372906854,115318.51646353246,182848.19965270805,75464.18400318622,104872.68669659868,404,210,8,708.92637037967,8727.995852303271,28007.45650708804,60937.50854847686,47350.63027713451,46347.38473355455,81064.12890222517,125,4,91,958,1733,415,65,192,1129,3503589.401485118
Canada,Finance,2109,80.30098844223042,38746.25328337071,345622.53680592135,156107.59840010823,173777.22655937372,2985.2771012922053,1525.2686825784644,86030.20688225147,45831.37969917905,383041.2736703451,29435.21199240706,199,289,151,3036.0243132800333,19171.470333702466,4964.462936277752,49540.57726571717,43290.847848175144,2214.5836028594385,86463.79359834253,108,194,25,850,879,415,40,106,231,3458561.557508812
France,Healthcare,1213,35.76577854446826,281999.93728395575,173490.12440872352,159265.25174039678,41831.084701293985,1765.7061302908262,4277.882118429624,177486.8637343704,16133.765318971815,81459.20398725987,55078.128781048916,75,64,78,4716.523018812967,15887.97567328175,48604.40308851638,87191.09784128712,51508.03141427741,29415.833725140103,71886.38549714419,127,15,5,569,1084,204,46,159,972,1833852.9118909102
China,IT,1276,4.704257138176581,664535.925996346,142225.80993923816,193648.85559388465,470392.1833104568,752.7284668643408,4576.691761438141,162224.43327152444,406556.526757978,493275.359220074,53471.759970909894,151,208,154,6963.301558617708,14286.89453199477,46473.601121877655,63181.49460833169,45579.06380173738,9328.42450680198,65177.5148079787,131,73,96,559,911,484,35,142,547,5505848.181791577
Germany,Retail,4822,88.34052221599727,54978.617233353885,58463.23229177691,199223.36103003492,244501.5327251999,9410.141787109267,232.1748417173447,140206.55545479892,100371.82123624289,255303.22964444407,137717.3789004664,209,62,129,4601.207245316925,228.4041284529015,35440.0304636036,84813.13253215243,26966.895705893974,24545.10680694627,283.7353969324057,183,98,86,984,1530,331,98,11,1743,3348197.82258648
France,Manufacturing,2606,70.82597632384154,430030.0762673695,143442.17293685113,127392.36018508043,61068.45661263249,6658.507039518849,1525.5549752137908,14789.128646249039,141495.42001574545,61400.10204123403,91746.34859208479,406,249,193,290.3737474899459,14509.257334950104,11277.824170681599,95866.85303104625,71015.76787259484,3757.388035828162,29457.962103328795,123,89,50,382,985,319,50,163,377,2352068.6241068533
France,Healthcare,1837,3.52059383115898,807664.7590966749,152602.86198406524,147089.3237313083,442315.49649651884,2239.0146157396653,2039.4793439144664,35840.80346761755,399050.29940471787,21108.90347607225,176007.2897179415,365,174,137,9279.573881095806,1982.2778279722409,47180.93619042843,72432.34083043224,9028.73882652615,22008.02088297852,25169.498972425386,128,106,79,469,1866,461,92,191,1089,4308614.703654932
Australia,IT,1694,32.44933118900987,429736.4281089023,356861.40992734226,162678.287724652,231456.01594163,5480.05540210029,642.7909561243039,149764.5992537565,168263.18175913714,348170.3801812636,106742.51547456507,488,103,146,2744.8535637080718,10033.64384396221,40930.37914514025,74733.51460773643,72291.26014931995,14672.854300166651,18791.153660064658,104,47,84,856,818,159,87,108,1112,4278799.992499669
Japan,Finance,1976,37.23242578617758,554680.5740708394,363195.64255411946,166766.90813555714,255902.48300202357,8824.69951599763,4967.46997467085,148246.84686047255,370768.9477806165,121202.7250258822,32646.189278712078,302,246,101,188.48404283879128,13559.227725451921,25948.69445840834,87524.18587178721,16443.086553042114,5350.944917568193,56468.10426939463,185,134,65,711,1852,216,97,100,747,4382317.689051766
Japan,Agriculture,2663,86.86757975219516,430332.9352925761,260520.39782686526,102075.16579350739,381599.97720880073,5263.438516894284,1660.6672717925758,76900.63308397781,331888.2152812913,454776.5545995631,168254.36185966263,220,277,101,6239.883839634284,12314.381736441426,6292.468455636019,92914.4390549965,89452.40902359395,16585.911846344232,75486.66071774167,4,58,22,502,1640,37,92,128,209,4664479.579904383
Japan,IT,4508,8.585205643431703,178106.307742563,386094.43349878024,44412.47365285197,237587.88973182827,2896.296301302047,2917.005025991178,122543.93020546933,180511.2615784832,104431.55853987036,31610.497830681972,347,205,179,6592.196459496506,17819.09075080659,35092.08268430481,2948.5932821887495,32138.70222978692,1993.9074954961004,84885.08132925216,123,87,28,920,336,265,33,69,1450,3220407.489282079
France,Agriculture,4358,76.99531835072277,970906.7145472957,171075.01105788935,164775.39424984407,252797.71812192653,2821.1369438781185,4195.032324003002,107383.93383678657,421022.51295851433,397564.1614639027,44582.192530593034,170,285,137,900.0549502297772,17567.44417862853,10559.339351657227,57427.43303790579,63538.29807803744,38759.52583878254,80081.83994969711,51,44,18,482,1805,196,97,86,1659,4338115.106319395
UK,Transport,4849,97.41471394854332,194390.1882192942,235371.36405944396,124465.11417972312,34071.66307714815,326.8943267881252,3069.8945540839622,134957.03448543345,422666.36358934676,221422.5875365785,33899.393261288125,95,256,63,8108.955455764404,2713.039608118397,7521.340889054712,39210.780121419506,94262.64534141085,2658.074855534323,42983.321585957565,92,119,9,221,814,454,86,160,461,3105726.425173297
France,Retail,4696,38.55905031857538,622208.9917127204,24162.075691114947,132308.51613489652,243679.5256992545,220.40848910538259,2640.1929427839136,142809.58239329694,286131.1782970272,319861.29486610414,55015.85391003656,33,129,192,3840.6132353135367,10792.09932187344,24703.647511222593,76273.8567124222,75778.25120569713,22554.67960981862,74993.86502673586,97,10,82,195,696,229,40,173,404,3649686.394667522
Brazil,Finance,3745,2.376211676574691,276281.4470269424,268298.01382987795,82078.04946355477,122182.10272988139,4511.7562367061955,4499.341052157831,142651.17077160522,56672.04629943296,16518.485375668133,91839.02138070295,472,276,55,2827.153260674602,18389.15904442207,13054.560985787622,51330.81850770817,27927.383528489718,36044.30875550264,58620.66842103575,162,148,97,270,1970,257,34,157,1829,2925920.806997573
France,Transport,4054,24.01486963182815,824161.0104264059,193824.20798318568,184865.92026046768,191876.16669474472,4642.396266783056,3061.7807987829433,167449.51600939344,37479.47857317058,711.2742079897761,194019.73927822433,304,152,19,2744.1648162940214,6497.2273692932795,38128.34135770307,81851.12139305385,29074.673638054366,43925.770080854854,16196.49062231387,163,90,69,909,1956,210,51,164,732,3078126.6632990856
USA,Agriculture,4961,12.671609062703448,794982.5807697752,33258.04220997341,176640.66099066424,291155.0110093543,7173.870099785251,4015.988329869498,31126.093624196004,346803.27305624,372932.255816008,410.6849320193229,293,268,36,140.63427072517842,13623.986393480338,11187.846557318815,72802.67324604545,62618.23915122511,14837.528729207444,17230.53831214735,139,16,65,66,1194,367,78,98,1986,3848728.443095689
India,Finance,3338,78.90214989093943,458646.2179790537,46435.793568381676,28782.314102168584,30781.031741497824,9797.735035167367,3311.1273104817155,198262.77847999282,397343.02222300996,146549.61571945486,118486.7348604839,115,43,60,1612.1129419980907,19230.680151922385,23467.23680515824,25231.269282534773,81508.67879609368,37155.85725873035,3351.384742214355,155,66,33,526,697,154,91,112,1863,2941193.327625666
China,Agriculture,2164,35.13906779908403,193598.19061848658,328719.2114213976,37234.69962208193,44396.89174619049,1053.8220500083605,894.6234239846557,123362.72168490893,272966.06747139833,229984.564324686,14384.077309025823,159,51,174,9041.155177732855,12654.579894680888,45824.831226969305,30081.192355241394,86625.99243436252,37923.40373389401,25444.77660720079,4,58,5,763,1510,21,19,187,1642,2831433.5168596515
Canada,Healthcare,4732,89.83259670546411,52809.89185024962,371706.416276324,94359.11973100764,199668.78332768285,20.68534624523055,3469.7312560239275,80218.69751472006,63353.49358469466,419241.95890123304,177905.62997966056,427,121,70,6895.752867304379,4678.162049622778,38222.54192619447,28135.750493951506,52781.51892628814,14615.423446576742,8770.35976499107,14,59,38,207,705,241,20,27,1873,3490078.765753894
USA,Retail,731,91.39192792985416,479327.0441334297,49188.513905803535,130428.54155606385,326857.5067121008,632.8192832520829,3923.297084041282,130916.443141105,40259.67947078929,470410.9126260781,79658.72731968362,491,106,97,4608.939796542735,12094.42622231735,32449.062126039298,314.792093195293,9714.544183429833,32797.13415294248,72663.75539410514,81,35,43,636,606,325,21,120,138,3430615.7899219836
